locid,fy,op_revenue,op_expenses,enplanements,net_rev_per_enplanement
1G4,2023,4126287.0,6413654.0,0.0,
ABE,2023,37041589.0,42681471.0,424151.0,-13.3
ABI,2023,1935632.0,7263386.0,77440.0,-68.8
ABQ,2023,65600202.0,43528792.0,2466881.0,8.95
ABR,2023,512752.0,969142.0,22820.0,-20.0
ABY,2023,1273084.0,4214486.0,33866.0,-86.85
ACK,2023,15745924.0,15195588.0,138613.0,3.97
ACT,2023,952706.0,5761677.0,54039.0,-88.99
ACV,2023,3152211.0,8637506.0,112173.0,-48.9
ACY,2023,11983057.0,31286909.0,463736.0,-41.63
AEX,2023,11989930.0,18343091.0,119627.0,-53.11
AGS,2023,21287214.0,20379875.0,297183.0,3.05
AHN,2023,4808561.0,4177857.0,0.0,
AKAP,2023,11048558.0,72254876.0,0.0,
AKP,2023,0.0,29050.0,0.0,
ALB,2023,47026265.0,57005703.0,1376639.0,-7.25
ALO,2023,1297589.0,1303790.0,16468.0,-0.38
ALS,2023,310319.0,1862175.0,11987.0,-129.46
ALW,2023,2933367.0,5509614.0,26626.0,-96.76
AMA,2023,13184680.0,18773183.0,396166.0,-14.11
ANC,2023,103332730.0,139809892.0,2711933.0,-13.45
AOO,2023,1921896.0,6106246.0,0.0,
APF,2023,32646264.0,31092321.0,0.0,
APN,2023,296669.0,1657238.0,0.0,
AQH,2023,202726.0,84255.0,0.0,
ART,2023,1417204.0,4345172.0,22094.0,-132.52
ASE,2023,22981441.0,25175297.0,308786.0,-7.1
ATL,2023,508300875.0,675433381.0,49691940.0,-3.36
ATW,2023,22950496.0,24405029.0,484714.0,-3.0
ATY,2023,412569.0,2712720.0,0.0,
AUG,2023,254644.0,691808.0,5290.0,-82.64
AUS,2023,278511620.0,226684316.0,10960717.0,4.73
AVL,2023,26529082.0,21431036.0,1010421.0,5.05
AVP,2023,7034769.0,14031361.0,180097.0,-38.85
AWI,2023,0.0,49464.0,0.0,
AZO,2023,3672450.0,7073120.0,89364.0,-38.05
BDL,2023,94269492.0,102175652.0,3063626.0,-2.58
BED,2023,23909274.0,20430060.0,0.0,
BFD,2023,1579706.0,1126822.0,0.0,
BFF,2023,989220.0,3338133.0,0.0,
BFI,2023,31881000.0,38137000.0,27393.0,-228.38
BFL,2023,6027425.0,10064071.0,155494.0,-25.96
BFM,2023,3290996.0,9430081.0,5833.0,-1052.47
BGM,2023,1661393.0,8117046.0,38655.0,-167.01
BGR,2023,24384495.0,26321693.0,333579.0,-5.81
BHB,2023,793049.0,785310.0,0.0,
BHM,2023,57555239.0,53528340.0,1434680.0,2.81
BID,2023,104775.0,951959.0,0.0,
BIH,2023,1241920.0,2847543.0,0.0,
BIL,2023,10809377.0,12772448.0,406691.0,-4.83
BIS,2023,7759571.0,10568089.0,256761.0,-10.94
BJI,2023,394651.0,1362284.0,24418.0,-39.63
BKW,2023,1034221.0,1721375.0,0.0,
BLI,2023,8415217.0,12324476.0,322299.0,-12.13
BLV,2023,4590830.0,12012157.0,147228.0,-50.41
BMI,2023,3275411.0,8931300.0,175653.0,-32.2
BNA,2023,247817896.0,203819586.0,10952899.0,4.02
BOI,2023,46263050.0,55244243.0,2370374.0,-3.79
BOS,2023,833781950.0,679095918.0,19502404.0,7.93
BPT,2023,4331968.0,5416421.0,23628.0,-45.9
BQK,2023,4232142.0,7971438.0,32464.0,-115.18
BQN,2023,5978396.0,10027434.0,0.0,
BRD,2023,1089449.0,1462485.0,0.0,
BRL,2023,298921.0,1626370.0,0.0,
BRO,2023,3076910.0,9254791.0,163401.0,-37.81
BTI,2023,0.0,18954.0,0.0,
BTM,2023,764876.0,2451640.0,0.0,
BTR,2023,15090585.0,13960725.0,381313.0,2.96
BTV,2023,22475666.0,24866599.0,647678.0,-3.69
BUF,2023,67978874.0,67370671.0,2501095.0,0.24
BUR,2023,72536457.0,70348895.0,2979039.0,0.73
BVU,2023,5146584.0,1655009.0,49841.0,70.05
