iata,icao,name,city,state,lat,lon,runways_count,max_runway_length_ft
NUP,PPIT,Nunapitchuk Airport,Nunapitchuk,AK,60.905591,-162.440454,2,3000
PPV,,Port Protection Seaplane Base,Port Protection,AK,56.3288,-133.610001,1,4000
BYW,,Blakely Island Airport,Blakely Island,WA,48.579162,-122.823844,1,2200
ATT,,Atmautluak Airport,Atmautluak,AK,60.866699,-162.272996,1,3000
PDB,,Pedro Bay Airport,Pedro Bay,AK,59.796925,-154.129994,1,3002
KOZ,,Ouzinkie Airport,Ouzinkie,AK,57.942094,-152.464314,1,3300
TNK,,Tununak Airport,Tununak,AK,60.569638,-165.246649,1,1778
WHD,,Hyder Seaplane Base,Hyder,AK,55.903324,-130.009975,1,10000
MNT,,Minto Al Wright Airport,Minto,AK,65.147991,-149.368658,1,2000
WKK,,Aleknagik / New Airport,Aleknagik,AK,59.2826004028,-158.617996216,1,2030
WFB,,Ketchikan Harbor Seaplane Base,Ketchikan,AK,55.349899,-131.677002,1,3893
BKF,,Lake Brooks Seaplane Base,Katmai National Park,AK,58.554798,-155.776993,1,5000
TSS,,East 34th Street Heliport,New York,NY,40.742372,-73.972074,4,44
NYS,,New York Skyports Inc Seaplane Base,New York,NY,40.735061,-73.972814,1,10000
CWS,,Center Island Airport,Center Island,WA,48.490046,-122.831612,1,1600
TEK,PAKA,Tatitlek Airport,Tatitlek,AK,60.871449,-146.690297,2,8000
SSW,,Stuart Island Airpark,Friday Harbor,WA,48.673379,-123.175439,1,2000
WDN,,Waldron Airstrip,Eastsound,WA,48.71141,-123.018208,1,2700
WWP,,Whale Pass Seaplane Float Harbor Facility,Whale Pass,AK,56.116299,-133.121994,1,10000
CHU,PACH,Chuathbaluk Airport,Chuathbaluk,AK,61.579102,-159.216003,1,3401
WTL,,Tuntutuliak Airport,Tuntutuliak,AK,60.351243,-162.654476,1,3005
TWA,,Twin Hills Airport,Twin Hills,AK,59.074713,-160.274992,1,3000
KCQ,,Chignik Lake Airport,Chignik Lake,AK,56.255001,-158.774994,1,2800
NKI,,Naukati Bay Seaplane Base,Tuxekan Island,AK,55.849602,-133.227994,2,10000
AOS,,Amook Bay Seaplane Base,Amook Bay,AK,57.4715003967,-153.815002441,1,8000
ALZ,,Alitak Seaplane Base,Lazy Bay,AK,56.897294,-154.249692,1,10000
CGA,,Craig Seaplane Base,Craig,AK,55.478802,-133.147995,1,10000
CKD,PACJ,Crooked Creek Airport,Crooked Creek,AK,61.870315,-158.137636,1,1997
CKX,,Chicken Airport,Chicken,AK,64.066495,-141.951342,1,2500
CYM,,Chatham Seaplane Base,Chatham,AK,57.5149,-134.945999,1,10000
DHB,,Deer Harbor SPB,Deer Harbor,WA,48.616667,-123.002778,1,4001
DIO,,Diomede Heliport,Diomede,AK,65.758367,-168.953676,1,64
EDA,,Edna Bay Seaplane Base,Edna Bay,AK,55.949653,-133.661012,0,
EXI,,Excursion Inlet Seaplane Base,Excursion Inlet,AK,58.420502,-135.449005,1,1000
GNU,,Goodnews Airport,Goodnews,AK,59.117561,-161.575241,1,2835
HYL,,Hollis Clark Bay Seaplane Base,Hollis,AK,55.481529,-132.646008,2,10000
JRA,,West 30th Street Heliport,New York,NY,40.755107,-74.006896,9,44
BLD,KBVU,Boulder City Municipal Airport,Boulder City,NV,35.947161,-114.858799,2,5103
OTS,,Anacortes Airport,Anacortes,WA,48.498513,-122.662513,1,3018
ABE,KABE,Lehigh Valley International Airport,Allentown/Bethlehem,PA,40.651773,-75.442797,2,7599
ABI,KABI,Abilene Regional Airport,Abilene,TX,32.4113006592,-99.68190002440001,3,7208
ABQ,KABQ,Albuquerque International Sunport,Albuquerque,NM,35.039976,-106.608925,3,13793
ABR,KABR,Aberdeen Regional Airport,Aberdeen,SD,45.449100494384766,-98.42179870605469,2,6901
ABY,KABY,Southwest Georgia Regional Airport,Albany,GA,31.532946,-84.196215,2,6601
ACK,KACK,Nantucket Memorial Airport,Nantucket,MA,41.25310135,-70.06020355,2,6303
ACT,KACT,Waco Regional Airport,Waco,TX,31.611299514770508,-97.23049926757812,2,7107
ACV,KACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,CA,40.978101,-124.109,2,6046
ACY,KACY,Atlantic City International Airport,Atlantic City,NJ,39.456201,-74.577511,2,10001
KAE,,Kake Seaplane Base,Kake,AK,56.973,-133.945999,1,10000
AEX,KAEX,Alexandria International Airport,Alexandria,LA,31.325828,-92.546702,1,9352
AGS,KAGS,Augusta Regional At Bush Field,Augusta,GA,33.3699,-81.9645,2,8001
AIA,KAIA,Alliance Municipal Airport,Alliance,NE,42.052543,-102.803965,3,9203
ALB,KALB,Albany International Airport,Albany,NY,42.748299,-73.801697,2,8500
ALO,KALO,Waterloo Regional Airport,Waterloo,IA,42.557098388671875,-92.40029907226562,2,8399
ALS,KALS,San Luis Valley Regional Airport/Bergman Field,Alamosa,CO,37.434898,-105.866997,1,8521
ALW,KALW,Walla Walla Regional Airport,Walla Walla,WA,46.09489822,-118.288002,1,6527
AMA,KAMA,Rick Husband Amarillo International Airport,Amarillo,TX,35.217857,-101.706444,2,13502
AOO,KAOO,Altoona Blair County Airport,Altoona,PA,40.296398,-78.32,2,5465
APN,KAPN,Alpena County Regional Airport,Alpena,MI,45.0780983,-83.56030273,2,9001
