year,month,airport_iata,arr_flights,arr_del15,arr_delay_min
2023,1,ABE,297,57,3997.0
2023,1,ABI,105,17,995.0
2023,1,ABQ,1653,338,20338.0
2023,1,ABR,59,6,214.0
2023,1,ABY,82,10,1861.0
2023,1,ACT,90,11,654.0
2023,1,ACV,135,37,3021.0
2023,1,ACY,210,40,2263.0
2023,1,ADK,6,0,5.0
2023,1,ADQ,47,4,337.0
2023,1,AEX,140,27,2455.0
2023,1,AGS,370,82,5156.0
2023,1,ALB,964,222,14616.0
2023,1,ALO,37,12,647.0
2023,1,AMA,331,69,6463.0
2023,1,ANC,1258,208,10330.0
2023,1,APN,47,14,1062.0
2023,1,ASE,727,339,26166.0
2023,1,ATL,26244,5191,431091.0
2023,1,ATW,346,121,8965.0
2023,1,AUS,7144,1639,107152.0
2023,1,AVL,682,134,10007.0
2023,1,AVP,147,53,4140.0
2023,1,AZA,486,156,13237.0
2023,1,AZO,110,18,1367.0
2023,1,BDL,1734,408,30766.0
2023,1,BET,57,8,450.0
2023,1,BFF,47,13,673.0
2023,1,BFL,185,52,3544.0
2023,1,BGM,49,13,1346.0
2023,1,BGR,268,59,4077.0
2023,1,BHM,1030,226,14915.0
2023,1,BIH,48,12,1462.0
2023,1,BIL,263,44,5505.0
2023,1,BIS,263,64,5510.0
2023,1,BJI,61,13,1152.0
2023,1,BLI,144,33,1721.0
2023,1,BLV,56,5,389.0
2023,1,BMI,162,27,1981.0
2023,1,BNA,7418,1416,97117.0
2023,1,BOI,1662,304,20181.0
2023,1,BOS,10691,2556,191984.0
2023,1,BPT,57,7,607.0
2023,1,BQK,62,8,859.0
2023,1,BQN,249,88,5188.0
2023,1,BRD,48,11,711.0
2023,1,BRO,72,17,860.0
2023,1,BRW,27,1,68.0
2023,1,BTM,55,6,253.0
2023,1,BTR,273,48,4556.0
2023,1,BTV,590,128,8221.0
2023,1,BUF,1572,375,25977.0
2023,1,BUR,2264,498,30350.0
2023,1,BWI,7260,1391,98884.0
2023,1,BZN,803,199,13397.0
2023,1,CAE,463,85,6130.0
2023,1,CAK,193,46,2022.0
2023,1,CDC,50,10,473.0
2023,1,CDV,59,11,472.0
2023,1,CHA,412,73,4796.0
2023,1,CHO,199,40,3759.0
2023,1,CHS,1694,322,21994.0
2023,1,CID,514,124,7435.0
2023,1,CIU,59,17,1083.0
2023,1,CKB,10,2,210.0
2023,1,CLE,3075,673,47721.0
2023,1,CLL,85,19,1642.0
2023,1,CLT,14932,3054,270845.0
2023,1,CMH,3114,627,42983.0
2023,1,CMI,111,16,785.0
2023,1,CMX,54,23,2098.0
2023,1,CNY,27,3,233.0
2023,1,COD,2,0,7.0
2023,1,COS,836,207,13968.0
2023,1,COU,83,14,768.0
2023,1,CPR,149,38,2507.0
2023,1,CRP,206,23,1399.0
2023,1,CRW,262,52,4224.0
2023,1,CSG,87,17,2141.0
2023,1,CVG,2857,643,43809.0
2023,1,CWA,115,27,2948.0
2023,1,CYS,54,9,683.0
2023,1,DAB,222,43,3733.0
2023,1,DAL,5632,962,65281.0
2023,1,DAY,547,73,6231.0
2023,1,DCA,11567,2118,154345.0
2023,1,DDC,48,9,596.0
2023,1,DEC,80,24,1513.0
2023,1,DEN,21581,5104,396245.0
2023,1,DFW,19750,4220,389235.0
2023,1,DHN,61,9,589.0
2023,1,DIK,47,14,824.0
2023,1,DLH,121,31,1687.0
2023,1,DRO,203,45,5041.0
2023,1,DRT,57,5,266.0
2023,1,DSM,1120,257,16954.0
2023,1,DTW,9790,1948,162405.0
2023,1,DVL,45,9,896.0
2023,1,ECP,347,59,3777.0
2023,1,EGE,495,146,11765.0
2023,1,EKO,31,7,278.0
2023,1,ELM,80,24,1286.0
2023,1,ELP,1334,266,17967.0
2023,1,ESC,57,8,816.0
2023,1,EUG,506,97,6003.0
2023,1,EVV,107,24,2596.0
2023,1,EWR,11473,2834,206763.0
2023,1,EYW,650,123,9461.0
2023,1,FAI,248,34,1649.0
2023,1,FAR,546,124,12260.0
2023,1,FAT,770,172,14294.0
2023,1,FAY,104,9,1327.0
2023,1,FCA,240,52,5513.0
2023,1,FLG,111,15,1195.0
2023,1,FLL,7470,1891,153670.0
2023,1,FNT,158,71,4315.0
2023,1,FOD,49,8,487.0
2023,1,FSD,544,135,11702.0
2023,1,FSM,75,12,1378.0
2023,1,FWA,308,87,5655.0
2023,1,GCC,49,9,713.0
2023,1,GCK,55,4,347.0
2023,1,GEG,1190,251,15979.0
2023,1,GFK,116,24,5414.0
2023,1,GGG,58,6,411.0
2023,1,GJT,195,51,2324.0
2023,1,GNV,251,41,3813.0
2023,1,GPT,206,41,2748.0
2023,1,GRB,279,63,3548.0
2023,1,GRI,75,6,292.0
2023,1,GRK,66,9,461.0
2023,1,GRR,1268,328,21521.0
2023,1,GSO,836,163,9148.0
2023,1,GSP,968,198,12028.0
2023,1,GTF,188,31,2361.0
2023,1,GTR,87,12,873.0
2023,1,GUC,81,28,2461.0
2023,1,GUM,60,10,384.0
2023,1,HDN,340,92,5853.0
2023,1,HGR,18,2,198.0
2023,1,HHH,64,17,1085.0
2023,1,HIB,72,4,285.0
2023,1,HLN,86,13,592.0
2023,1,HNL,5012,1293,80323.0
2023,1,HOU,4157,781,52012.0
2023,1,HPN,1104,310,22164.0
2023,1,HRL,266,46,3119.0
2023,1,HSV,588,107,7704.0
2023,1,HTS,27,7,480.0
2023,1,HYS,59,14,677.0
2023,1,IAD,3540,722,55490.0
2023,1,IAG,27,5,308.0
2023,1,IAH,8936,2218,167265.0
2023,1,ICT,675,152,9060.0
2023,1,IDA,229,43,3513.0
2023,1,ILM,455,59,3961.0
2023,1,IMT,56,12,1492.0
2023,1,IND,3316,720,51726.0
2023,1,INL,51,5,274.0
2023,1,ISP,375,74,4882.0
2023,1,ITH,56,15,1043.0
2023,1,ITO,557,104,5166.0
2023,1,JAC,489,134,11566.0
2023,1,JAN,543,88,5854.0
2023,1,JAX,2194,464,32584.0
2023,1,JFK,10798,2841,214895.0
2023,1,JLN,51,13,714.0
2023,1,JMS,48,11,1264.0
2023,1,JNU,323,58,3168.0
2023,1,JST,55,7,594.0
2023,1,KOA,1425,319,16980.0
2023,1,KTN,174,23,1273.0
2023,1,LAN,135,30,1968.0
2023,1,LAR,46,9,700.0
2023,1,LAS,15449,3994,284376.0
2023,1,LAW,62,6,161.0
2023,1,LAX,15216,3614,266516.0
2023,1,LBB,395,97,7224.0
2023,1,LBE,30,11,482.0
2023,1,LBF,69,18,2656.0
2023,1,LBL,47,7,546.0
2023,1,LCH,86,14,1417.0
2023,1,LCK,54,13,742.0
2023,1,LEX,546,108,6472.0
2023,1,LFT,204,39,2520.0
2023,1,LGA,13153,3298,247926.0
2023,1,LGB,1279,277,14011.0
2023,1,LIH,1320,297,16320.0
2023,1,LIT,803,189,12432.0
2023,1,LNK,28,12,854.0
2023,1,LRD,83,9,548.0
2023,1,LSE,79,11,714.0
2023,1,LWS,58,14,687.0
2023,1,MAF,548,116,8095.0
2023,1,MBS,61,10,545.0
2023,1,MCI,3514,746,50048.0
2023,1,MCO,13086,3374,270437.0
2023,1,MCW,49,11,459.0
2023,1,MDT,381,77,5011.0
2023,1,MDW,6138,1155,80867.0
2023,1,MEI,82,10,1621.0
2023,1,MEM,1748,379,26637.0
2023,1,MFE,220,45,2744.0
2023,1,MFR,351,67,3895.0
2023,1,MGM,188,31,4265.0
2023,1,MHK,120,17,940.0
2023,1,MHT,473,81,4889.0
2023,1,MIA,8574,1871,152179.0
2023,1,MKE,1940,469,33685.0
2023,1,MLB,230,37,2933.0
2023,1,MLI,275,52,3245.0
2023,1,MLU,145,19,1466.0
2023,1,MOB,169,37,2629.0
2023,1,MOT,161,54,3214.0
2023,1,MQT,65,15,1472.0
2023,1,MRY,278,60,3348.0
2023,1,MSN,795,176,11754.0
2023,1,MSO,232,34,2889.0
2023,1,MSP,9139,1878,154607.0
2023,1,MSY,3922,863,57042.0
2023,1,MTJ,365,89,5544.0
2023,1,MYR,725,133,9776.0
2023,1,OAJ,62,7,344.0
2023,1,OAK,3720,849,51050.0
2023,1,OGG,2564,653,37913.0
2023,1,OKC,1617,400,28108.0
2023,1,OMA,1707,406,27454.0
2023,1,OME,60,6,254.0
2023,1,ONT,1806,381,23163.0
2023,1,ORD,19741,4564,364576.0
2023,1,ORF,1426,282,18579.0
2023,1,ORH,138,28,2465.0
2023,1,OTH,17,10,607.0
2023,1,OTZ,59,7,235.0
2023,1,OWB,9,2,145.0
2023,1,PAE,97,15,1007.0
2023,1,PBG,36,8,1035.0
2023,1,PBI,2483,604,43617.0
2023,1,PDX,4477,828,52206.0
2023,1,PGD,545,215,20228.0
2023,1,PGV,21,0,3.0
2023,1,PHL,6915,1389,117825.0
2023,1,PHX,14416,3050,224612.0
2023,1,PIA,215,47,3669.0
2023,1,PIB,51,7,1182.0
2023,1,PIE,565,131,12816.0
2023,1,PIH,31,1,24.0
2023,1,PIT,3300,612,42462.0
2023,1,PLN,48,14,814.0
2023,1,PNS,744,177,18912.0
2023,1,PPG,11,7,338.0
2023,1,PRC,61,12,2019.0
2023,1,PSC,320,76,5987.0
2023,1,PSE,75,25,1484.0
2023,1,PSG,54,10,477.0
2023,1,PSM,19,6,296.0
2023,1,PSP,1514,332,20177.0
2023,1,PUB,25,3,84.0
2023,1,PVD,1166,226,15001.0
2023,1,PVU,147,68,6667.0
2023,1,PWM,675,129,9370.0
2023,1,RAP,285,53,4501.0
2023,1,RDD,89,30,2494.0
2023,1,RDM,416,77,5083.0
2023,1,RDU,4243,937,65895.0
2023,1,RFD,64,11,704.0
2023,1,RHI,59,13,986.0
2023,1,RIC,1434,347,24254.0
2023,1,RIW,30,8,1097.0
2023,1,RKS,29,8,494.0
2023,1,RNO,1525,375,23579.0
2023,1,ROA,187,42,3415.0
2023,1,ROC,1056,234,14684.0
2023,1,ROW,89,12,775.0
2023,1,RST,124,41,2312.0
2023,1,RSW,3122,672,52542.0
2023,1,SAF,112,19,1287.0
2023,1,SAN,6845,1698,100270.0
2023,1,SAT,2837,671,42320.0
2023,1,SAV,1142,232,15864.0
2023,1,SBA,515,120,8908.0
2023,1,SBN,422,91,6846.0
2023,1,SBP,363,112,7526.0
2023,1,SCC,35,2,192.0
2023,1,SCE,106,23,1092.0
2023,1,SCK,46,13,597.0
2023,1,SDF,1570,314,21304.0
2023,1,SEA,11736,1898,135505.0
2023,1,SFB,705,226,21775.0
2023,1,SFO,9963,2823,211582.0
2023,1,SGF,526,133,9287.0
2023,1,SGU,173,35,3661.0
2023,1,SHR,53,13,1195.0
2023,1,SHV,261,46,2858.0
2023,1,SIT,88,20,835.0
2023,1,SJC,4339,861,52673.0
2023,1,SJT,84,11,487.0
2023,1,SJU,2768,766,52526.0
2023,1,SLC,8851,1740,131403.0
2023,1,SLN,59,15,1789.0
2023,1,SMF,4163,806,47733.0
2023,1,SMX,9,0,21.0
2023,1,SNA,3649,797,45180.0
2023,1,SPI,56,8,1171.0
2023,1,SPN,31,2,124.0
2023,1,SPS,54,5,365.0
2023,1,SRQ,1393,331,24367.0
2023,1,STC,17,1,22.0
2023,1,STL,4579,872,57423.0
2023,1,STS,221,42,1880.0
2023,1,STT,492,96,7489.0
2023,1,STX,87,21,1315.0
2023,1,SUN,152,33,1985.0
2023,1,SUX,54,15,1606.0
2023,1,SWF,53,21,1923.0
2023,1,SWO,60,5,1037.0
2023,1,SYR,1048,259,16594.0
2023,1,TLH,419,59,4785.0
2023,1,TOL,33,4,231.0
2023,1,TPA,6362,1526,111482.0
2023,1,TRI,253,39,2778.0
2023,1,TTN,138,49,3742.0
2023,1,TUL,1222,268,16606.0
2023,1,TUS,1441,325,22566.0
2023,1,TVC,216,49,2934.0
2023,1,TWF,36,6,181.0
2023,1,TXK,85,10,513.0
2023,1,TYR,85,12,702.0
2023,1,TYS,906,216,17075.0
2023,1,USA,65,18,897.0
2023,1,VCT,57,8,383.0
2023,1,VEL,39,10,1072.0
2023,1,VLD,82,9,1671.0
2023,1,VPS,455,97,13464.0
2023,1,WRG,54,10,467.0
2023,1,XNA,836,204,14561.0
2023,1,XWA,88,28,2923.0
2023,1,YAK,57,8,508.0
2023,1,YUM,89,15,683.0
2023,2,ABE,289,43,2373.0
2023,2,ABI,72,11,445.0
2023,2,ABQ,1526,326,19281.0
2023,2,ABR,51,3,1481.0
2023,2,ABY,68,4,126.0
2023,2,ACT,76,16,1647.0
2023,2,ACV,129,25,1418.0
2023,2,ACY,217,35,1934.0
2023,2,ADK,8,0,16.0
2023,2,ADQ,47,11,751.0
2023,2,AEX,135,19,1556.0
2023,2,AGS,322,39,2439.0
2023,2,ALB,858,142,8826.0
2023,2,ALO,34,5,339.0
2023,2,AMA,364,66,6565.0
2023,2,ANC,1121,350,20094.0
2023,2,APN,45,12,1218.0
2023,2,ASE,735,277,24149.0
2023,2,ATL,23964,3080,247062.0
2023,2,ATW,340,96,10572.0
2023,2,AUS,6517,1287,87728.0
2023,2,AVL,663,65,3255.0
2023,2,AVP,163,24,1447.0
2023,2,AZA,475,159,11030.0
2023,2,AZO,58,5,1012.0
2023,2,BDL,1752,319,23958.0
2023,2,BET,55,16,1030.0
2023,2,BFF,45,9,571.0
2023,2,BFL,183,47,3386.0
2023,2,BGM,50,11,1604.0
2023,2,BGR,283,43,3459.0
2023,2,BHM,1051,167,11012.0
2023,2,BIH,46,12,1982.0
2023,2,BIL,279,38,3673.0
2023,2,BIS,268,43,2518.0
2023,2,BJI,52,8,936.0
2023,2,BLI,145,29,1725.0
2023,2,BLV,54,9,986.0
2023,2,BMI,120,19,1476.0
2023,2,BNA,6866,1094,67306.0
2023,2,BOI,1614,248,16585.0
2023,2,BOS,10336,2165,169878.0
2023,2,BPT,54,8,605.0
2023,2,BQK,56,5,297.0
2023,2,BQN,190,55,2916.0
2023,2,BRD,46,7,406.0
2023,2,BRO,80,9,615.0
2023,2,BRW,28,7,448.0
2023,2,BTM,49,3,115.0
2023,2,BTR,256,27,1307.0
2023,2,BTV,526,99,6786.0
2023,2,BUF,1437,316,19775.0
2023,2,BUR,2075,358,20414.0
2023,2,BWI,6601,863,48074.0
2023,2,BZN,798,167,10058.0
2023,2,CAE,407,55,3344.0
2023,2,CAK,231,29,2314.0
2023,2,CDC,44,8,470.0
2023,2,CDV,50,14,548.0
2023,2,CHA,456,67,4574.0
2023,2,CHO,194,26,1381.0
2023,2,CHS,1563,282,18387.0
2023,2,CID,493,110,6241.0
2023,2,CIU,52,13,3051.0
2023,2,CKB,12,3,197.0
2023,2,CLE,2826,512,32002.0
2023,2,CLL,76,19,1044.0
2023,2,CLT,14154,2049,200506.0
2023,2,CMH,2907,476,27566.0
2023,2,CMI,108,7,369.0
2023,2,CMX,53,14,1805.0
2023,2,CNY,28,8,650.0
2023,2,COS,748,147,8822.0
2023,2,COU,105,13,983.0
2023,2,CPR,134,27,2933.0
2023,2,CRP,219,21,1174.0
2023,2,CRW,254,34,1942.0
2023,2,CSG,61,5,385.0
2023,2,CVG,2697,446,30766.0
2023,2,CWA,55,3,209.0
2023,2,CYS,30,3,836.0
2023,2,DAB,232,28,1911.0
2023,2,DAL,5200,721,37642.0
2023,2,DAY,450,54,3775.0
2023,2,DCA,10939,1725,122420.0
2023,2,DDC,46,9,615.0
2023,2,DEC,73,20,1682.0
2023,2,DEN,20151,4069,299722.0
2023,2,DFW,18972,4011,358891.0
2023,2,DHN,56,4,169.0
2023,2,DIK,46,9,1417.0
2023,2,DLH,119,11,1256.0
2023,2,DRO,246,41,2543.0
2023,2,DRT,53,8,480.0
2023,2,DSM,1031,190,12410.0
2023,2,DTW,8923,1412,123838.0
2023,2,DVL,40,3,123.0
2023,2,ECP,322,43,4020.0
2023,2,EGE,470,109,7239.0
2023,2,EKO,28,2,67.0
2023,2,ELM,87,8,400.0
2023,2,ELP,1185,209,11793.0
2023,2,ERI,37,7,542.0
2023,2,ESC,54,9,524.0
2023,2,EUG,488,79,6030.0
2023,2,EVV,117,6,314.0
2023,2,EWN,26,0,18.0
2023,2,EWR,10838,2319,160979.0
2023,2,EYW,628,100,5614.0
2023,2,FAI,206,67,3338.0
2023,2,FAR,499,89,6960.0
2023,2,FAT,701,158,11134.0
2023,2,FAY,84,10,1048.0
2023,2,FCA,214,56,3406.0
2023,2,FLG,126,26,2881.0
2023,2,FLL,7066,1536,108169.0
2023,2,FNT,198,49,3746.0
2023,2,FOD,42,4,114.0
2023,2,FSD,533,105,7671.0
2023,2,FSM,73,6,413.0
2023,2,FWA,311,56,4859.0
2023,2,GCC,47,7,364.0
2023,2,GCK,54,7,432.0
2023,2,GEG,1129,249,16441.0
2023,2,GFK,103,13,1745.0
2023,2,GGG,54,6,355.0
2023,2,GJT,210,38,2251.0
2023,2,GNV,204,13,844.0
2023,2,GPT,194,13,1372.0
2023,2,GRB,260,31,3210.0
2023,2,GRI,70,10,608.0
2023,2,GRK,106,16,1140.0
2023,2,GRR,1227,239,18394.0
2023,2,GSO,785,121,6605.0
2023,2,GSP,890,127,7435.0
2023,2,GTF,175,21,1964.0
2023,2,GTR,76,9,1325.0
2023,2,GUC,87,17,1093.0
2023,2,GUM,56,3,170.0
2023,2,HDN,390,88,5085.0
2023,2,HGR,16,3,86.0
2023,2,HHH,56,10,469.0
2023,2,HIB,66,4,295.0
2023,2,HLN,84,4,296.0
2023,2,HNL,4519,911,62846.0
2023,2,HOU,3762,544,28907.0
2023,2,HPN,1044,248,17596.0
2023,2,HRL,278,33,1555.0
2023,2,HSV,552,74,5440.0
2023,2,HTS,17,2,54.0
2023,2,HYS,56,10,498.0
2023,2,IAD,3463,522,37276.0
2023,2,IAG,36,6,295.0
2023,2,IAH,8562,1779,122956.0
2023,2,ICT,639,115,6766.0
2023,2,IDA,214,36,2223.0
2023,2,ILM,474,76,4624.0
2023,2,IMT,53,10,641.0
2023,2,IND,3151,502,31704.0
2023,2,INL,45,4,171.0
2023,2,ISP,360,59,3002.0
2023,2,ITH,54,9,560.0
2023,2,ITO,482,118,5927.0
2023,2,JAC,501,123,8428.0
2023,2,JAN,536,36,1735.0
2023,2,JAX,2041,362,23069.0
2023,2,JFK,10415,2137,165513.0
2023,2,JLN,47,8,1382.0
2023,2,JMS,46,5,612.0
2023,2,JNU,304,67,3832.0
2023,2,JST,55,4,2055.0
2023,2,KOA,1284,224,12190.0
2023,2,KTN,162,35,2258.0
2023,2,LAN,131,12,1776.0
2023,2,LAR,48,9,804.0
2023,2,LAS,13779,3701,252269.0
2023,2,LAW,103,10,1183.0
2023,2,LAX,13636,3202,233486.0
2023,2,LBB,339,68,5293.0
2023,2,LBE,28,7,352.0
2023,2,LBF,75,16,1128.0
2023,2,LBL,45,9,596.0
2023,2,LCH,80,10,613.0
2023,2,LCK,49,5,284.0
2023,2,LEX,546,51,3047.0
2023,2,LFT,174,19,1237.0
2023,2,LGA,12881,2848,202062.0
2023,2,LGB,1157,215,10506.0
2023,2,LIH,1191,196,11364.0
2023,2,LIT,798,140,10246.0
2023,2,LNK,37,11,874.0
2023,2,LRD,85,14,799.0
2023,2,LSE,99,7,475.0
2023,2,LWS,56,7,781.0
2023,2,MAF,574,93,6098.0
2023,2,MBS,70,12,403.0
2023,2,MCI,3315,622,37743.0
2023,2,MCO,12272,2572,177518.0
2023,2,MCW,42,7,188.0
2023,2,MDT,373,71,3907.0
2023,2,MDW,5660,705,38231.0
2023,2,MEI,76,19,1468.0
2023,2,MEM,1591,321,24378.0
2023,2,MFE,213,55,3553.0
2023,2,MFR,331,43,4041.0
2023,2,MGM,142,17,3896.0
2023,2,MHK,134,14,658.0
2023,2,MHT,425,73,4207.0
2023,2,MIA,7936,1480,109333.0
2023,2,MKE,1770,346,23710.0
2023,2,MLB,209,31,1242.0
2023,2,MLI,258,32,3347.0
2023,2,MLU,137,17,1613.0
2023,2,MOB,189,30,1800.0
2023,2,MOT,118,17,1457.0
2023,2,MQT,53,6,362.0
2023,2,MRY,262,63,4009.0
2023,2,MSN,663,101,6835.0
2023,2,MSO,232,35,2026.0
2023,2,MSP,8232,1222,101555.0
2023,2,MSY,3892,702,40896.0
2023,2,MTJ,330,75,4041.0
2023,2,MYR,772,123,7903.0
2023,2,OAJ,56,5,501.0
2023,2,OAK,3309,671,37983.0
2023,2,OGG,2315,488,28859.0
2023,2,OKC,1487,306,23538.0
2023,2,OMA,1589,313,20475.0
2023,2,OME,47,10,569.0
2023,2,ONT,1689,387,22427.0
2023,2,ORD,18892,3496,276914.0
2023,2,ORF,1345,209,12419.0
2023,2,ORH,132,28,1648.0
2023,2,OTH,15,3,209.0
2023,2,OTZ,48,13,783.0
2023,2,OWB,8,2,878.0
2023,2,PAE,100,14,1038.0
2023,2,PBG,49,8,639.0
2023,2,PBI,2382,605,40701.0
2023,2,PDX,4036,802,54190.0
2023,2,PGD,557,114,10597.0
2023,2,PGV,27,4,121.0
2023,2,PHL,6022,1033,89581.0
2023,2,PHX,13489,3164,216604.0
2023,2,PIA,212,24,1200.0
2023,2,PIB,48,15,3067.0
2023,2,PIE,578,95,8388.0
2023,2,PIH,27,2,47.0
2023,2,PIT,3058,439,26592.0
2023,2,PLN,41,11,2084.0
2023,2,PNS,750,129,9411.0
2023,2,PPG,8,3,181.0
2023,2,PRC,53,6,669.0
2023,2,PSC,332,52,2898.0
2023,2,PSE,69,23,1257.0
2023,2,PSG,54,10,594.0
2023,2,PSM,30,6,457.0
2023,2,PSP,1467,312,18386.0
2023,2,PVD,1149,178,12305.0
2023,2,PVU,154,80,8302.0
2023,2,PWM,656,86,5323.0
2023,2,RAP,239,42,2591.0
2023,2,RDD,82,14,1197.0
2023,2,RDM,434,74,4526.0
2023,2,RDU,4015,696,52361.0
2023,2,RFD,58,10,1395.0
2023,2,RHI,51,4,320.0
2023,2,RIC,1357,285,18776.0
2023,2,RIW,27,6,184.0
2023,2,RKS,27,4,238.0
2023,2,RNO,1395,327,23975.0
2023,2,ROA,189,21,1076.0
2023,2,ROC,1040,186,11693.0
2023,2,ROW,83,12,734.0
2023,2,RST,127,12,557.0
2023,2,RSW,3017,538,37513.0
2023,2,SAF,130,28,1342.0
2023,2,SAN,6221,1480,85112.0
2023,2,SAT,2638,524,34250.0
2023,2,SAV,1170,196,11517.0
2023,2,SBA,521,113,9325.0
2023,2,SBN,394,60,5506.0
2023,2,SBP,336,89,7587.0
